搜尋詞,tf-idf,semantic_model
中衛兒童口罩,Seasonic 海韻 芯金CG-650 ATX SSR-650LX,"令和 平面醫療口罩 兒童款, 海洋藍, 50片, 4盒"
中衛兒童口罩,"PH JAPAN 女性私密清潔露, 150ml, 2入","令和 平面醫療口罩 兒童款, 薄荷綠, 50片, 6盒"
中衛兒童口罩,Star 大碼東方便鞋,"令和 平面醫療口罩 兒童款, 薄荷綠, 50片, 3盒"
中衛兒童口罩,"復古室內手指雕塑 YTRC117, 黑色 黑色",兒童快樂印花口罩 10入
中衛兒童口罩,"塑膠玻璃紅酒杯240ml L號 銀色, 60個",兒童印花雙面口罩
中衛兒童口罩,"withshea 2合1寵物洗毛精 乳木果油, 380ml, 1個","令和 3D韓式立體醫療口罩 兒童款, 田園小豬, 10片, 2盒"
瓦斯噴槍,"hamada Hamada 秘密夜光磁性停車牌, 1個, 黑色","NS_SHINFUJI 新富士 伸縮小型瓦斯噴槍-黃, 1入"
瓦斯噴槍,"ATEX 我愛空氣高防護黃色防塵口罩家庭 10p A Set, 1套","DAYBREAK 瓦斯噴火槍, 混色, 1份"
瓦斯噴槍,"SOLVITA 黑啤酒酵母維生素B7 6000錠, 3個, 60g","Kwazar 伸縮噴槍 1.2m, 1個"
瓦斯噴槍,"Sera 地中海酸櫻桃果醬, 370g, 1罐","科高壓噴槍延長桿 01 1.2 x 20 cm, 1個"
瓦斯噴槍,"Tacx ARX Deva 水壺架, 綠色, 1個","Kwazar 噴槍加長桿 0.6m, 1個"
瓦斯噴槍,"家鄉檸檬薑茶, 12g, 40條, 4盒","金色迷你噴槍套組, 1套"
瓦斯噴槍,"美睫膠水卸妝凝膠 15g, 單色, 1個","TALLSTOY 動力噴槍, 隨機發貨"
瓦斯噴槍,"6-Blow鬆餅鍋金, 2個","迷你噴槍, 1個, 單色"
瓦斯噴槍,"前尼西亞教父們。自公元 325 年起的教父著作譯本第一卷 - 學者精選版平裝本, 學者的選擇","bathtem 迷你多功能噴槍 SG-270, 1個"
瓦斯噴槍,"GODSHOE Irio Torphen Sling Bag 3cm, 米色, 245","GIRAFFE 長型噴火槍, GT-1712, 1個"
滑鼠架,"Sanhaerang 桑葉戒指, 300克","DIY鼠標抽屜顯示器支架YT_RC276, 橡木"
滑鼠架,"ZESPA 電熱毯, SHP6751","SHEISONE 鼠標手腕架, 單色, 1個"
滑鼠架,LUNAGIRL 女款蕾絲襯衫,"DIY鼠標抽屜顯示器支架YT_RC276, 櫻桃木"
滑鼠架,"NISSIN 日清 U.F.O. 極太泡菜美乃茲炒麵 168g, 6入","滑鼠手腕果凍靠墊, C, 1個"
滑鼠架,"比利時 trixie 有機棉長頸鹿搖鈴, 燦爛陽光, 1個","Healing Shield 羅技垂直升降無線滑鼠磨砂外接保護膜套裝, 單色, 單品"
滑鼠架,"TRYCOZY 可愛卡通第9季耳機硬殼, 單品, 極客","滑鼠手腕果凍靠墊, D, 1個"
滑鼠架,"具有大量存儲空間的休閒雙向交叉臀部背包, 熊","滑鼠手腕果凍靠墊, B, 1個"
滑鼠架,"OTTOGI 不倒翁 葡萄果醬, 3個","滑鼠手腕果凍靠墊, 一個, 1個"
滑鼠架,"GOODIE FOODIE 可折疊衣櫃整理器滑動收納整理器大號, 白色, 3個","方形滑鼠墊 滑板款 M-D0132 22*24cm, 混色, 1個"
滑鼠架,"Giovanny 雙版車輛250ml x 2P +購物袋, 1套, 花園派對","ABSL 電腦平板支架+滑鼠支架 X5-M FAN Premium, 黑色的"
護唇膏,"LU-S97) 房間名稱2, 灰色","護唇膏 3.8g, 保濕香氛味, 20入"
護唇膏,"HSP 5016 1/10 26 毫米硬漂移輪胎 RC 汽車輪胎 4p, 混色, 2件","保濕護唇膏, 單色, 3.9g, 1支"
護唇膏,"PRIELLE 格紋分離式冷氣防塵罩, 白色的","保濕護唇膏, 6支, 山茶花, 5ml"
護唇膏,"Winnie's Crocker 浮雕筆記型電腦包, 鱷魚黑","唇膏唇部護理皮膚保護劑經典 4g, 櫻桃, 3片"
護唇膏,"Nice 美甲修身棒 2 件套小, 黃金白銀, 1套","3重護理潤唇膏, 2號, 5g, 4支"
護唇膏,"Maison Textile Brix 圍裙 炭灰色, 1個","3重護理潤唇膏, 2號, 5g, 6支"
護唇膏,"AST 名片本高頻新紙盒 200S, 25張, 黑色的","3重護理潤唇膏, 01 NATURAL, 5克, 6支"
護唇膏,"GAZESHOP Gazeon V2 AirPods 充電盒, 凝視AP-WCC, 石板灰","e.l.f. 護唇膏 12g, 1個, 強大的薄荷"
護唇膏,"MYPLANT LG空氣清淨機滾輪底座 AS161系列, 黑色的","3重護理潤唇膏, 01 NATURAL, 5克, 4支"
護唇膏,"hokka 北陸製菓 4連哆啦A夢造型餅, 60g, 4組","3重護理潤唇膏, 2號, 5g, 1支"
飛行夾克,Shoebrick 增高軟泡氣墊鞋墊 2.5cm 2sets,男士斜紋飛行員夾克
飛行夾克,"THERMOS 膳魔師 Hello Kitty不鏽鋼真空保溫杯 JMK-351-RK, 紅色, 350ml, 1個",武漢男MA1飛行夾克春秋
飛行夾克,"天鵝湯匙透明, 1入, 1000件",耐吉男士運動服基本風格飛行員夾克
飛行夾克,"微波電路的電腦輔助設計精裝本, 阿泰克出版社",K-TEX 男款素色飛行外套 CODH703
飛行夾克,"Popofancy Furoshiki 包裝包 3 點熊貓 5p, 粉紅色, 60件",726GEARS TS 68 連帽可拆卸飛行夾克
飛行夾克,.,ALLSAINTS 男士皮革 KEMBLE 麂皮飛行員夾克
飛行夾克,.,CONFIAR 多口袋長袖飛行外套 TC5106
飛行夾克,.,Vibrate VLACK LINE 側邊拉鍊飛行員夾克
飛行夾克,.,athe vanessabruno 女式尼龍混紡飛行員夾克 VLJU1B201
飛行夾克,.,SAINTPAIN B15絎縫內裡飛行夾克
三星,"AVU Soak Off卸甲夾, 黃色, 50入","三星 LED 方形燈 400 x 175 毫米 25W 高級三星 S6 模塊 + 三星 KS 鎮流器, 晝光色, 1套"
三星,"Momo Stick 扁棒指握手機支架墊系列, 1個, 霧面海軍藍","SAMSUNG 三星 手機螢幕保護貼, 1套"
三星,"門窗排水孔防護貼, 10張","SAMSUNG 三星 手機螢幕透明保護膜, 1個"
三星,"BUYSELL 拉鍊式便袋抽取盒, 粉色的, 1個, 1件","三星 LED 方形燈 400 x 175 毫米 25W 高級三星 S6 模塊 + 三星 KS 鎮流器, 日光色, 1套"
三星,"UNITED NUDE 女士每日短襪套 5 件, 白色的","開箱 1+1三星專屬C to C超級快充線 正品兼容, 1m, [1+1]三星獨家C to C（黑色）"
三星,"momostick 智能指環手機支架手指夾 + 夾子 2p, 發光門, 1套","三星 LED 迷你室內燈 355 x 160 毫米 18W 高級三星 S6 模塊 + 三星 KS 鎮流器, 晝光色, 1套"
三星,"WANNABEAN 巴西咖啡豆 NY2等級, 手沖咖啡, 500g, 1包","三星Type-C快充線, 1m, 白色, 2條"
三星,"Zenta Korea 捲尺, 1個","SAMSUNG 三星 2p組前螢幕螢幕保護貼, 1組"
三星,Petit Enfant 女童5分甜美內搭褲 PCV34GLE101,SAMSUNG 三星 電子保護套手機殼
三星,"CHAMORE 汽車門鎖扣保護蓋 SH239 4入組, 黑色, Kia Carnival KA4 8月20日~, KIA","SAMSUNG 三星 AR螢幕保護貼 防反射低反射螢幕保護貼 2p套 透明, 1組"
黃金手鍊,"大買家 防水防油廚房PVC皮革地墊, 綠意金彩","金級健康手鍊, 1個"
黃金手鍊,"Riding Tribe BLACKNU TriveMS 旋鈕保護越野手套, 03黑色","金布加迪健康手鍊, 1個"
黃金手鍊,"24K鍍金電磁波貼紙 2美元, 混色, 5件",ffZB199藍色蝴蝶鏈環手鍊（淺藍+深藍）
黃金手鍊,"Monnani Shop 美式復古標誌系列立體冰箱磁鐵, 國際足球隊款10+1個 隨機出貨",魅力女士如意財富銀杏葉翡翠手鍊
黃金手鍊,"KANG FA 康髮 奇異繽紛水漾保濕雕 莓果紫 中黏, 260ml, 2瓶","Allup Home 黃金水晶手鍊 黃金鑽石, 1個"
黃金手鍊,Apilco 男士 PU 皮革高級自動腰帶,女式腳踏珍珠金心形分層手鍊
黃金手鍊,"Tanis Seamless Crew 自行車襪運動襪 2 件裝, 螢光橘",SWAROVSKI 施華洛世奇 女款薑黃色手鐲手鍊+購物袋
黃金手鍊,"甜活昆蟲動物系列廚房多用途票, 14","七星稀土金球手鍊銀L, 1個"
黃金手鍊,"MACQUEEN 氣墊粉撲 5入, 白色+藍色, 4盒",男士金屬手鍊 JM420ATH05
黃金手鍊,"吹毛求吃 犬貓用原肉凍乾, 雞情四射, 50g, 4包",男士金屬手鍊 JM222AVD06
綠聯,"pinkfong 碰碰狐 兒童牙線棒, 32支, 15包","UGREEN 綠聯 Type-C轉USB高級快充線, 混色, 1條, 50cm"
綠聯,"Saem Calamansi 毛孔棒潔面乳, 15g, 3個","UGREEN 綠聯 2in1 5 -pin C型高速OTG性別, 混合顏色, 1個"
綠聯,"CARRARO 多趣酷思咖啡機適用 巴西咖啡膠囊, 7g, 16顆, 2盒","UGREEN 綠聯 Type-C轉USB高級快充線, 混色, 1入, 1m"
綠聯,"Decocomani 人造花茶杯香皂花盒, 綠色","UGREEN 綠聯 USB3.0轉接器, U-20256"
綠聯,"JANGVAYO 2合1身體刷, 藍色, 1組, 1入","UGREEN 綠聯 Type-C轉USB高級快充線, 混色, 1入, 0.25m"
綠聯,Deuce Bike 男士自行車服上下套裝,"UGREEN 綠聯 高級手機重力支架, 藍黑, 1個"
綠聯,男士時尚潮流休閒羈扣運動衫復古訓練褲,UGREEN 綠聯 高速外置硬殼 128.5 x 82 x 14.1 mm US221
綠聯,"PGM Leeeun 高爾夫推桿推桿線指南鋼材分析儀, 混色","UGREEN 綠聯 高級壁掛式智能手機支架, 單一顏色, 1個"
綠聯,"《我的靈魂》平裝本的片段, 特拉福德出版社","UGREEN 綠聯 Type C to C 快充充電線, 2m, 黑色的"
綠聯,.,"UGREEN 綠聯 Type-C網路卡, US236"
豆皮,.,"久代 豆皮片, 100g, 2盒"
豆皮,.,"久代 豆皮絲, 100g, 6盒"
豆皮,.,"去皮蠶豆, 2個, 400g"
豆皮,.,"良澔 大溪名產豆丁, 220g, 5袋"
豆皮,.,"良澔 大溪名產豆丁, 220g, 4袋"
豆皮,.,"國產陳皮真皮, 400g, 1包"
豆皮,.,"德昌 蒜絲豆乾, 110g, 5包"
豆皮,.,"Deodam 去皮蠶豆, 4kg, 1個"
豆皮,.,"Deodam 去皮蠶豆, 1kg, 5包"
豆皮,.,"盛寶食品陳皮真皮, 100g, 1包"
lsu43aco,.,"SATECHI USB C 型 6 合 1 iMac 夾具多功能集線器 ST-UCICHB, 藍色"
lsu43aco,.,"L P A 超多孔 Cocosubs 過濾介質, 5L, 1個"
lsu43aco,.,"ABKONCORE 耳機, 黑色, B719M"
lsu43aco,.,"Cleansui 迷你淨水器CP407+基本濾芯套組, 混色, 2.2L"
lsu43aco,.,"ddHiFi TC35 Pro Mountain 3.5mm轉Type-C無損MQA解碼轉接頭, 混色, TC35PROMC"
lsu43aco,.,"SATECHI USB Type-C 6合1鋁製薄型多端口集線器 V2 ST-SCMA2M, 灰色空間"
lsu43aco,.,"Monami Decomaca 463 細筆尖金屬套裝, 6 種顏色, 4組"
lsu43aco,.,"Monami Decomaca 463 細筆尖金屬套裝, 6 種顏色, 3組"
lsu43aco,.,"wacom Hi Uni 數位筆尖 ACK24601Z, 單色, 5個"
lsu43aco,.,"THE ZAKKA Dream Unicorn 室內布, Y394LHLL236"
開檔絲襪,.,VOLA 維菈 免脫開檔透膚絲襪
開檔絲襪,.,古裝性感透明通體絲襪023
開檔絲襪,.,DM 獨家 性感透視全身開衩絲襪
開檔絲襪,.,"ANTS 開衩全身網眼絲襪, 粉色的, 1個"
開檔絲襪,.,Lovero 女式性感服裝全身絲襪 1371
開檔絲襪,.,Luna Glam 全身底部開叉網眼絲襪
開檔絲襪,.,"ANTS 開衩全身網眼絲襪, 紫色的, 1個"
開檔絲襪,.,"ANTS 開衩全身網眼絲襪, 紅色的, 1個"
開檔絲襪,.,愛蜜情趣絲襪C9015
開檔絲襪,.,"ANTS 情色 蜜糖 全身 開衩 絲襪, 藍色, 1個"
3090 顯示卡,ROSICLER Daily 方形髮夾別針 3件套,AMD 銳龍 9-4 代 5950X 威猛 CPU
3090 顯示卡,Naya Style 男士健身房長袖上衣 FUYP-62-2,"msi 微星 GeForce RTX 3070 Ventus 2X OC D6 8GB 顯卡, 單品"
3090 顯示卡,"LOTTE 樂天 玉米牛角餅乾 鹽味, 134g, 6個","msi 微星 GeForce RTX 3050 VENTUS 2X 8G OC, MS-V397V5"
3090 顯示卡,"雪花卡片+鑲嵌+卡片信封套組, 10套, 白色（信封）","FORSA GeForce GT710 D3 1GB 顯卡（科達電子）, R-R-PcL-GT710"
3090 顯示卡,"Todia Variety 卡通鍵盤鼠標長墊 600 x 350 x 4 毫米, 大象, 1個",Razer Ripsaw X 顯卡 RZ20-0414
3090 顯示卡,Somnium Jace 波士頓包,星光卡林巴 29
3090 顯示卡,"CHANNELLOCK 過濾扳手 209, 1個","msi 微星 MEG Z490I Unifi Intel CPU 主板, Z490I統一"
3090 顯示卡,"prep solutions 折疊式不鏽鋼蒸盤, 1個, 22.9厘米","emTek RB-1 顯卡支持自動RGB白色, 1個"
3090 顯示卡,"RIFLE PAPER MARION THANK YOU 卡盒套組, 混色, 8套","daehancom 電腦主機 i5-9400, 游牧 49Q, 基本型"
3090 顯示卡,"基森廚房藝術板仙人掌花 600 x 600 毫米, 白色的, 1個","BLUETEC 數顯卡尺大液晶BD500-300B, 1個"
嬌聯,.,"unicharm 嬌聯 Charm Nap Sarafi 吸水除臭抗菌無翼防漏墊 微量型, 40片, 4包, 17.5cm"
嬌聯,.,"GREEN MONSTER 錦紫蘇毛喉素補充錠, 60顆, 1盒"
嬌聯,.,Tsutsumarket 女士莫比烏斯銀聯軸器
嬌聯,.,"GREEN MONSTER 錦紫蘇毛喉素補充錠, 60顆, 3盒"
嬌聯,.,"UGREEN 綠聯 20針虛擬超高速8K DP V1.4電纜, 1個, 3m"
嬌聯,.,"JJ LADY 嬌嬌女 VITAMIN B 滋養活力保濕精華液, 30ml, 3瓶"
嬌聯,.,"UGREEN 綠聯 20針虛擬超高速8K DP V1.4電纜, 1個, 1m"
嬌聯,.,"JJ LADY 嬌嬌女 益生菌保濕潔顏慕斯, 150ml, 2瓶"
嬌聯,.,UGREEN 綠聯 保險槓水晶手機殼
嬌聯,.,"GUERLAIN 嬌蘭 除臭棒, 1個, 75克"
烘鞋器,HOTCODE 男款束口褲 HC5757,"SOTHING 向物 烘鞋器 零 DSHJ-S-1904A 170 x 71 x 29mm, 遠山白"
烘鞋器,"購物車9ni鞋酒架, 白色的, 1個","Nanice 白色太空定時器烘鞋器, 混色, 單品"
烘鞋器,"VIC DREAM 橫向識別證件套+掛繩 VIC-6611 7入, 淺綠色, 2套","PURECOACH 攜帶式USB鞋子烘乾機, SD01"
烘鞋器,"核心食譜 蛋白豆腐零食 黑芝麻零食, 60g, 6個","OON 懸掛旋轉折疊鞋烘乾機 綠色, 2個"
烘鞋器,"TT Office Sharpener 卷筆刀 KI-100-office + Tucobi Coma 三角橡皮鉛筆 TC-208 6 種 x 2p 套裝, 灰色（卷筆刀）, 2組","MURRAY 攜帶式鞋子烘乾機 小熊造型, MK-10, 米色"
烘鞋器,.,"RASTO AH5智慧恆溫滅菌鞋襪烘乾器 R-ARH005 16.5 x 6 x 1.5cm, 黑色"
烘鞋器,.,"鞋烘乾衣架灰色, 3個"
烘鞋器,.,"BORNNMADE 鞋子烘乾機, BUD-F100"
烘鞋器,.,"裂縫浴室鞋烘乾整理器 2 步, 黑色的, 1個"
烘鞋器,.,"PM Life 手提式擦鞋器 粉紅色, 32g, 1個"
m.2 鋁合金,"Saimdang Saromae Yeonbaeksu 輕盈乳液, 120毫升, 1個","Coms M.2 NVMe SSD RGB LED 外部硬殼 USB 3.1 Gen2 10Gbps 支持, HB085"
m.2 鋁合金,"Quardi自粘防水防潮防污隔熱薄牆紙, Clova White","Transcend 創見 M.2 SSD 2280 Slim 記憶卡, MTS832S, 512GB"
m.2 鋁合金,"加旁鯊魚抱枕 IZB041, 02灰色","MGTEC M.2 外置 SSD F6, 240GB, 混色"
m.2 鋁合金,"內置衣櫃收納 5 層衣架, 白色, 25個","網內 M.2 轉 USB 3.0 SSD 外殼 銀色, IN-SSDM2S"
m.2 鋁合金,"磁吸式30格瓶罐收納分裝禮盒, 混色, 6個","Transcend 創見 NVMe M.2 SSD 2280, MTE220S, 512GB"
m.2 鋁合金,"起亞汽車 EV6 GT 壓鑄件, 雪白珍珠","MGTEC M.2 外置 SSD F6, 480GB, 混色"
m.2 鋁合金,Freeway 男士舒適運動涼鞋 RICSAC4552MFREE1 180g,"Transcend 創見 NVMe M.2 SSD 2280, MTE220S, 2TB"
m.2 鋁合金,"HARIO 按壓式醬油瓶 SYO-100-PGR, 80ml, 1份","imation M.2 NVME SSD, X730, 240GB"
m.2 鋁合金,"Teachers 電動自動機啄木鳥機器人DIY套組J-27, 5套",網內 USB3.0 NGFF M.2 SSD 外置硬殼 IN-SSDM2BK 黑色
m.2 鋁合金,"全能海棠花陶器鍋架橘色, 1個","imation M.2 NVME SSD, 1024GB, Q831"
